exam_id_1,course_1,exam_id_2,course_2,coenrollment
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-2241-LEC-1001120-1,AEM 2241,5
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-2241-LEC-1001120-2,AEM 2241,5
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-2241-LEC-1001120-3,AEM 2241,5
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-2241-LEC-1001120-1,AEM 2241,5
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-2241-LEC-1001120-2,AEM 2241,5
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-2241-LEC-1001120-3,AEM 2241,5
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-2770-LEC-1023161-1,AEM 2770,2
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-2770-LEC-1023161-1,AEM 2770,2
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-3100-LEC-1008805-1,AEM 3100,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-3100-LEC-1008805-1,AEM 3100,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-4280-LEC-1281313-1,AEM 4280,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-AEM-4280-LEC-1281313-2,AEM 4280,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-4280-LEC-1281313-1,AEM 4280,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-AEM-4280-LEC-1281313-2,AEM 4280,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-ANSC-2210-LEC-1147814-1,ANSC 2210,4
1-AEM-2210-LEC-2634167-1,AEM 2210,1-ANSC-2210-LEC-1147814-2,ANSC 2210,4
1-AEM-2210-LEC-2634167-2,AEM 2210,1-ANSC-2210-LEC-1147814-1,ANSC 2210,4
1-AEM-2210-LEC-2634167-2,AEM 2210,1-ANSC-2210-LEC-1147814-2,ANSC 2210,4
1-AEM-2210-LEC-2634167-1,AEM 2210,1-ANSC-3400-LEC-1016332-1,ANSC 3400,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-ANSC-3400-LEC-1016332-1,ANSC 3400,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-BEE-2220-LEC-1008545-1,BEE 2220,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-BEE-2220-LEC-1008545-2,BEE 2220,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-BEE-2220-LEC-1008545-1,BEE 2220,1
1-AEM-2210-LEC-2634167-2,AEM 2210,1-BEE-2220-LEC-1008545-2,BEE 2220,1
1-AEM-2210-LEC-2634167-1,AEM 2210,1-BIOEE-1610-LEC-1000065-1,BIOEE 1610,4
1-AEM-2210-LEC-2634167-1,AEM 2210,1-BIOEE-1610-LEC-1000065-2,BIOEE 1610,4
1-AEM-2210-LEC-2634167-2,AEM 2210,1-BIOEE-1610-LEC-1000065-1,BIOEE 1610,4
